Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
1,Albany Med. Ctr,Capital District,Capital District,All PCI,2015,695,18,2.59,1.35,2.18,1.29,3.45,Rate significantly higher than Statewide Rate
116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,All PCI,2015,336,1,0.30,0.93,0.37,0.00,2.03,Rate not different than Statewide Rate
746,Bassett Medical Center,Capital District,Capital District,All PCI,2015,538,5,0.93,1.11,0.95,0.31,2.22,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,All PCI,2015,415,7,1.69,1.88,1.02,0.41,2.10,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Concourse,Bronx,NY Metro - NYC,All PCI,2015,137,5,3.65,2.52,1.65,0.53,3.84,Rate not different than Statewide Rate
1286,Brookdale Univ Hosp Med Ctr,Kings,NY Metro - NYC,All PCI,2015,183,2,1.09,1.55,0.80,0.09,2.90,Rate not different than Statewide Rate
885,Brookhaven Memorial,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,352,5,1.42,1.04,1.56,0.50,3.63,Rate not different than Statewide Rate
207,Buffalo General Med Ctr,Western NY - Buffalo,Western NY - Buffalo,All PCI,2015,1522,22,1.45,1.17,1.40,0.88,2.12,Rate not different than Statewide Rate
977,Cayuga Med Ctr Ithaca,Central NY,Central NY,All PCI,2015,160,2,1.25,1.93,0.74,0.08,2.66,Rate not different than Statewide Rate
636,Crouse Hospital,Central NY,Central NY,All PCI,2015,311,6,1.93,1.20,1.84,0.67,4.00,Rate not different than Statewide Rate
829,Ellis Hospital,Capital District,Capital District,All PCI,2015,470,9,1.91,1.22,1.78,0.81,3.39,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,All PCI,2015,427,2,0.47,0.89,0.60,0.07,2.16,Rate not different than Statewide Rate
599,Faxton - St. Lukes,Central NY,Central NY,All PCI,2015,157,3,1.91,1.22,1.78,0.36,5.19,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2015,180,0,0.00,1.19,0.00,0.00,1.94,Rate not different than Statewide Rate
779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2015,575,10,1.74,1.80,1.10,0.53,2.02,Rate not different than Statewide Rate
925,Good Sam-West Islip,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,1059,3,0.28,0.79,0.41,0.08,1.19,Rate not different than Statewide Rate
913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2015,502,4,0.80,1.07,0.85,0.23,2.17,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2015,302,1,0.33,1.50,0.25,0.00,1.40,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2015,1856,15,0.81,0.80,1.15,0.65,1.90,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2015,1039,12,1.15,0.94,1.40,0.72,2.44,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2015,1056,8,0.76,1.89,0.46,0.20,0.90,Rate significantly lower than Statewide Rate
213,Mercy Hospital-Buffalo,Western NY - Buffalo,Western NY - Buffalo,All PCI,2015,1108,18,1.62,1.11,1.66,0.98,2.62,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2015,944,7,0.74,1.10,0.76,0.31,1.57,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2015,584,8,1.37,1.30,1.20,0.52,2.36,Rate not different than Statewide Rate
1439,Mount Sinai Beth Israel,Manhattan,NY Metro - NYC,All PCI,2015,1721,12,0.70,1.01,0.79,0.41,1.37,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2015,3610,14,0.39,0.74,0.60,0.33,1.00,Rate significantly lower than Statewide Rate
